X	Y	Z
-6.6163	-9.6929	19.852
-10.029	-13.256	25.3
-11.308	-10.239	33.03
-8.1618	-3.7963	33.136
-4.3941	-1.6492	28.479
-2.7531	-2.0505	23.848
-2.7731	-3.3809	20.163
-4.02	-5.9431	17.904
-6.7847	-10.432	18.664
-10.811	-14.488	25.783
-11.76	-9.7042	34.713
-7.5654	-2.3618	33.436
-3.412	-0.64264	27.962
-1.8138	-1.1035	23.066
-1.7275	-2.0914	19.12
-2.588	-3.9711	16.225
-4.7391	-7.8348	15.208
-8.9707	-14.177	19.428
-13.188	-14.876	32.237
-10.247	-4.0178	36.867
-4.1837	0.67707	30.927
-1.0238	0.74075	25.158
-0.046179	0.5336	20.573
0.32187	0.66698	16.853
0.7058	1.2367	13.843
1.4969	2.6879	11.524
3.3857	6.2551	10.398
7.8049	14.014	13.64
14.52	19.306	30.175
11.812	3.7422	40.413
3.5247	-3.2847	32.718
-0.85921	-3.3414	26.534
-2.4511	-3.7621	22.3
-3.8359	-5.614	19.589
-6.1765	-9.2236	19.402
-9.6688	-13.201	24.253
-11.515	-11.096	32.546
-8.6709	-4.2463	33.663
-4.6483	-1.5607	29.088
-2.7196	-1.8009	24.306
-2.5557	-2.9841	20.432
-3.598	-5.2717	17.842
-6.0887	-9.4844	17.823
-10.159	-14.376	23.756
-12.218	-11.399	33.932
-8.5085	-3.0674	34.452
-3.8331	-0.47054	28.981
-1.7757	-0.75055	23.849
-1.4335	-1.5482	19.675
-1.9932	-2.9744	16.443
-3.5923	-5.9607	14.565
-7.0657	-11.781	16.203
-12.326	-16.872	26.872
-12.302	-8.0442	37.692
-6.1797	0.25449	33.586
-1.5601	1.1996	27.212
0.051173	0.99802	22.223
0.6767	1.2606	18.237
1.3405	2.2539	15.091
2.686	4.675	12.973
5.7056	10.047	13.383
11.378	17.62	22.218
13.866	11.598	37.812
7.707	-0.31221	35.857
1.5753	-2.2643	28.754
-0.74357	-2.153	23.515
-1.7811	-2.8439	19.551
-3.0862	-4.888	16.85
-5.6308	-9.1311	16.543
-10.011	-14.837	22.366
-12.781	-12.46	34.124
-8.9073	-2.8269	35.368
-3.6172	0.21338	29.464
-1.2377	0.025874	24.085
-0.64207	-0.42028	19.731
-0.71179	-0.97451	16.194
-1.2393	-2.0673	13.387
-2.5776	-4.6078	11.521
-5.7559	-10.403	12.221
-11.922	-18.683	22.319
-14.099	-10.911	39.14
-7.1296	1.4029	35.827
-0.84439	2.9422	28.57
1.4415	2.9104	23.541
2.6376	3.9727	19.921
4.3407	6.662	17.976
7.4252	11.31	19.55
11.305	14.316	27.643
11.218	8.1711	35.084
6.7297	1.859	32.48
3.0709	0.78601	27.058
1.8409	1.3872	22.362
1.9711	2.5555	18.626
3.1025	4.8456	16.074
5.7261	9.3951	15.977
10.36	15.425	22.507
13.007	12.209	34.978
8.6079	2.1057	35.438
3.1577	-0.63076	29.205
0.83582	-0.41804	23.821
0.18535	-0.1752	19.49
0.0096625	-0.11237	15.956
-0.069771	-0.1579	13.064
-0.17621	-0.33198	10.699
-0.41963	-0.79769	8.7744
-1.0482	-2.0433	7.2749
-2.7377	-5.4244	6.573
-7.1996	-13.899	9.6602
-15.441	-22.272	28.885
-12.29	-2.3416	42.996
-2.3654	5.4633	33.611
2.4826	5.1202	27.827
4.108	5.3955	24.411
5.4211	7.023	22.665
7.3189	9.5012	23.376
9.3308	10.862	27.117
9.6269	8.6184	30.936
7.6699	5.1759	30.682
5.4932	3.8742	27.67
4.6057	4.4247	24.455
5.0801	6.1612	22.279
6.7291	8.8821	22.257
9.0462	11.212	25.633
10.118	9.8177	30.618
8.404	5.6899	31.625
5.7642	3.5672	28.692
4.3581	3.7435	25.058
4.4614	5.2137	22.234
5.8503	7.8501	21.217
8.3134	11.032	23.549
10.393	11.337	29.319
9.4615	6.9231	32.514
6.4378	3.4797	30.178
4.2826	3.0196	26.157
3.8335	4.0961	22.649
4.7672	6.3455	20.524
7.0071	9.8553	21.135
9.9624	12.523	26.308
10.709	9.4258	32.531
7.8456	4.106	32.22
4.6585	2.3595	28.03
3.3373	2.8776	23.817
3.5973	4.4886	20.602
5.1743	7.4648	19.202
8.1697	11.716	21.614
11.206	12.951	29.318
10.235	6.921	34.186
6.2014	2.2544	31.134
3.3546	1.671	26.225
2.5905	2.5472	21.989
3.1802	4.3505	18.866
5.0691	7.7619	17.673
8.6107	12.819	20.976
12.037	13.637	30.69
10.195	5.6611	35.329
5.3224	1.0136	30.948
2.389	0.74377	25.577
1.6247	1.4696	21.117
1.9764	2.7557	17.614
3.3273	5.356	15.369
6.336	10.486	16.028
11.311	16.264	24.448
12.797	10.343	36.52
7.4804	0.87224	34.608
2.373	-0.89363	28.217
0.43375	-0.63163	23.018
-0.16053	-0.57729	18.842
-0.50029	-0.90293	15.45
-1.0397	-1.8296	12.743
-2.2659	-4.1269	10.866
-5.2084	-9.5864	11.172
-11.318	-18.54	20.13
-14.746	-12.74	38.773
-7.898	1.3534	36.792
-0.90284	3.3866	29.18
1.688	3.3197	24.102
2.9857	4.3997	20.565
4.7517	7.1149	18.843
7.7866	11.463	20.777
11.182	13.497	28.498
10.666	7.5681	34.469
6.5152	2.2132	31.744
3.328	1.3737	26.667
2.3508	2.1265	22.237
2.7496	3.69	18.844
4.358	6.7216	17.067
7.6472	11.843	19.062
11.797	14.852	28.3
11.26	7.4881	35.856
6.2398	1.1152	32.389
2.5253	0.28876	26.708
1.3227	0.82649	21.946
1.3288	1.686	18.106
