X	Y	Z
-4.7255	5.8024	0.023701
-5.289	5.4136	0.020374
-5.8102	4.9621	0.018582
-6.2832	4.4512	0.017465
-6.7021	3.885	0.016677
-7.0618	3.2679	0.016082
-7.3574	2.6051	0.015624
-7.5846	1.9026	0.015278
-7.7398	1.1665	0.015031
-7.82	0.40361	0.014875
-7.8229	-0.37892	0.014808
-7.7468	-1.1736	0.014827
-7.591	-1.9726	0.014934
-7.3554	-2.768	0.015132
-7.0408	-3.5517	0.015426
-6.6488	-4.3155	0.015827
-6.1818	-5.0514	0.016344
-5.643	-5.7513	0.016995
-5.0364	-6.4075	0.0178
-4.3668	-7.0124	0.018787
-3.6396	-7.559	0.019992
-2.8612	-8.0406	0.021465
-2.0382	-8.4509	0.023268
-1.1782	-8.7845	0.025491
-0.28915	-9.0364	0.028252
0.62054	-9.2025	0.031718
1.542	-9.2794	0.036125
2.4661	-9.2646	0.041813
3.3834	-9.1564	0.049282
4.2843	-8.9541	0.059283
5.1591	-8.658	0.072966
5.998	-8.2692	0.09213
6.7912	-7.79	0.11965
7.5288	-7.2238	0.1602
8.2005	-6.5749	0.22149
8.7958	-5.8487	0.3164
9.3028	-5.0521	0.46648
9.7078	-4.1932	0.7075
9.9933	-3.2819	1.0974
10.136	-2.3304	1.7251
10.102	-1.3537	2.7128
9.8471	-0.37147	4.1927
9.3193	0.59161	6.2218
8.4734	1.5051	8.6122
7.306	2.3351	10.77
5.8936	3.0506	11.822
4.3932	3.6319	11.201
2.98	4.0766	9.1639
1.7677	4.397	6.575
0.78032	4.6129	4.2324
-0.019087	4.7432	2.4995
-0.68607	4.8026	1.3796
-1.2685	4.8005	0.72297
-1.7984	4.7423	0.36578
-2.2938	4.6312	0.18308
-2.7625	4.4693	0.094396
-3.2063	4.258	0.053164
-3.6238	3.9989	0.034572
-4.0118	3.6938	0.026269
-4.3665	3.3451	0.022464
-4.684	2.9553	0.020582
-4.9604	2.5276	0.019532
-5.1923	2.0656	0.018865
-5.3763	1.5732	0.018406
-5.5097	1.0548	0.018081
-5.5902	0.51505	0.017864
-5.6158	-0.04095	0.017742
-5.5852	-0.60794	0.017711
-5.4975	-1.1804	0.017769
-5.3526	-1.7528	0.017918
-5.1508	-2.3191	0.018162
-4.8928	-2.8737	0.018506
-4.5803	-3.4107	0.018959
-4.2153	-3.9243	0.01953
-3.8003	-4.4089	0.020235
-3.3387	-4.859	0.02109
-2.8341	-5.2693	0.022119
-2.2908	-5.635	0.02335
-1.7134	-5.9514	0.024818
-1.1072	-6.2144	0.026571
-0.47778	-6.4202	0.028667
0.16904	-6.5658	0.031182
0.82701	-6.6483	0.034213
1.4897	-6.6657	0.037887
2.1503	-6.6166	0.042373
2.8022	-6.5001	0.04789
3.4385	-6.3162	0.05473
4.0522	-6.0654	0.063284
4.6366	-5.7489	0.074074
5.185	-5.3688	0.087797
5.6907	-4.9277	0.10538
6.1474	-4.429	0.12807
6.5489	-3.8769	0.15744
6.8893	-3.276	0.19555
7.1631	-2.632	0.24485
7.365	-1.9508	0.30817
7.4901	-1.2394	0.38839
7.5338	-0.50495	0.4878
7.4924	0.24446	0.60712
7.3627	1.0004	0.74396
7.1432	1.754	0.89121
6.8341	2.4961	1.0358
6.4382	3.2176	1.1592
5.9612	3.9096	1.2398
5.4117	4.5636	1.2587
4.8006	5.1721	1.2061
4.1401	5.7286	1.0856
3.4414	6.2276	0.91529
2.7143	6.6646	0.72181
1.9662	7.0359	0.53281
1.202	7.3383	0.36941
0.4258	7.569	0.24243
-0.359	7.7254	0.15282
-1.1483	7.8055	0.094881
-1.9372	7.8075	0.06021
-2.7197	7.73	0.040709
-3.489	7.5726	0.030143
-4.2377	7.3353	0.024414
-4.9583	7.0189	0.021149
-5.6432	6.6251	0.01911
-6.2847	6.1562	0.017701
-6.8756	5.6156	0.016646
-7.4089	5.0072	0.015821
-7.8781	4.3358	0.015163
-8.2772	3.607	0.014641
-8.6007	2.8268	0.014234
-8.8439	2.0023	0.013929
-9.0027	1.1407	0.013717
-9.0738	0.25009	0.013593
-9.0548	-0.66118	0.013553
-8.9439	-1.5843	0.013598
-8.7405	-2.5103	0.013729
-8.4448	-3.4297	0.01395
-8.0579	-4.3333	0.014268
-7.5819	-5.2115	0.014694
-7.0197	-6.055	0.015242
-6.3754	-6.8546	0.01593
-5.6537	-7.6013	0.016783
-4.8605	-8.2866	0.017836
-4.0023	-8.9023	0.019133
-3.0865	-9.4407	0.020737
